Fecha,m,y,i,p,remes,tc
nov-02,227456.663,80.0952,7.3,53.078877,741.438,10.1975
dic-02,263936.897,80.4905,6.88,53.30993,919.401,10.2249
ene-03,246101.98,79.2724,8.27,53.525441,1051.2547,10.6203
feb-03,241402.098,77.1755,9.04,53.674122,979.7597,10.9372
mar-03,237849.553,80.3398,9.17,54.01293,1139.1124,10.9124
abr-03,243730.756,79.9509,7.86,54.105144,1202.5097,10.5917
may-03,246356.274,82.2884,5.25,53.93056,1350.9669,10.2512
jun-03,240017.485,81.4434,5.2,53.975112,1351.1707,10.5047
jul-03,242514.288,80.9357,4.57,54.053339,1361.362,10.4502
ago-03,242435.364,79.4199,4.45,54.21549,1401.2462,10.7811
sep-03,238702.501,79.1888,4.73,54.538238,1365.5085,10.9269
oct-03,247925.945,81.8791,5.11,54.738207,1391.0112,11.1748
nov-03,260002.337,80.6345,4.99,55.192542,1203.7084,11.145
dic-03,303614.089,83.3303,6.06,55.429811,1341.0761,11.2486
ene-04,278373.115,80.9301,4.95,55.774317,1081.8635,10.9151
feb-04,273567.978,79.1939,5.57,56.107945,1171.7737,11.0142
mar-04,267424.553,84.9279,6.28,56.298071,1480.224,11.0094
abr-04,273090.802,82.9362,5.98,56.383032,1513.5151,11.2751
may-04,276652.472,85.2391,6.59,56.241603,1770.3978,11.5124
jun-04,278847.001,85.6209,6.57,56.331745,1684.7248,11.3894
jul-04,281999.486,82.9402,6.81,56.47939,1654.376,11.4636
ago-04,277136.443,83.1324,7.21,56.828041,1786.8078,11.3942
sep-04,280788.968,82.1975,7.36,57.297917,1586.8407,11.4864
oct-04,285219.272,84.3626,7.76,57.694747,1529.9477,11.3983
nov-04,294824.968,85.9415,8.2,58.186899,1506.1644,11.3681
dic-04,340177.672,86.2305,8.5,58.307088,1565.1123,11.2041
ene-05,316646.595,82.2584,8.6,58.30916,1367.5563,11.2607
feb-05,307241.459,80.8995,9.15,58.503431,1428.377,11.1367
mar-05,311855.795,83.6264,9.41,58.767121,1691.5896,11.1427
abr-05,306993.402,86.5937,9.63,58.976415,1753.3032,11.1163
may-05,307690.103,87.8889,9.75,58.828251,2057.2773,10.9733
jun-05,314148.93,86.3521,9.63,58.771783,1923.2802,10.8228
jul-05,315321.675,83.7842,9.61,59.0018,1840.3006,10.6781
ago-05,306032.898,86.4312,9.6,59.072255,2059.2229,10.6882
sep-05,312474.667,84.6425,9.21,59.309006,1885.9905,10.7775
oct-05,316469.239,86.8531,8.91,59.45458,1862.2776,10.8324
nov-05,327169.713,88.6573,8.71,59.882493,1886.9538,10.6685
dic-05,380033.691,89.1511,8.22,60.250312,1932.142,10.6295
ene-06,354740.855,87.0456,7.88,60.603626,1758.3057,10.547
feb-06,346431.301,84.083,7.61,60.696358,1823.1898,10.4833
mar-06,353043.83,89.5401,7.37,60.772512,2152.8362,10.7468
abr-06,357800.129,87.1025,7.17,60.861617,2072.7017,11.0421
may-06,358023.879,93.1394,7.02,60.590675,2534.599,11.0923
jun-06,369072.338,91.3686,7.02,60.642998,2340.2623,11.3913
jul-06,368681.007,88.3589,7.03,60.809294,2191.6469,10.9858
ago-06,363431.699,90.2462,7.03,61.119609,2334.2835,10.872
sep-06,367139.801,87.8691,7.06,61.736612,2140.9586,10.9853
oct-06,368270.537,91.5975,7.05,62.006519,2316.5244,10.8971
nov-06,395512.706,91.1452,7.04,62.331857,1962.802,10.9177
dic-06,449821.289,90.8614,7.04,62.692424,1938.7249,10.8479
ene-07,409947.749,88.7773,7.04,63.016208,1872.9292,10.9529
feb-07,399603.547,85.7683,7.04,63.192347,1856.7782,10.9998
mar-07,409813.851,91.4221,7.04,63.329113,2186.5239,11.1139
abr-07,400645.809,89.3206,7.01,63.291295,2166.564,10.9806
may-07,407228.336,94.3224,7.24,62.982534,2411.7694,10.8167
jun-07,408726.848,93.5346,7.2,63.05817,2300.5755,10.835
jul-07,408166.585,91.411,7.19,63.326005,2369.4892,10.8109
ago-07,410822.206,92.2173,7.2,63.583996,2412.1251,11.0456
sep-07,412441.187,89.4752,7.21,64.077703,2186.1334,11.0315
oct-07,417007.796,95.28,7.2,64.327405,2367.6428,10.8231
nov-07,431863.49,93.8092,7.44,64.781221,1958.5217,10.8866
dic-07,494743.458,92.4572,7.44,65.049056,1969.7657,10.8484
ene-08,459689.002,90.9544,7.42,65.350564,1781.6996,10.91
feb-08,447828.092,88.9893,7.43,65.544834,1859.7116,10.7665
mar-08,447711.242,89.0533,7.43,66.019891,2116.3465,10.7313
abr-08,445503.346,94.7153,7.44,66.170127,2184.6854,10.5154
may-08,451301.896,94.8643,7.44,66.098635,2371.6245,10.4352
jun-08,447614.269,94.4559,7.56,66.372168,2264.5868,10.3292
jul-08,463302.998,94.1593,7.93,66.742059,2183.1569,10.2155
ago-08,462796.94,91.4931,8.18,67.127492,2097.565,10.1095
sep-08,458615.354,90.5765,8.17,67.584935,2113.8022,10.6437
oct-08,477702.485,95.5068,7.74,68.045486,2637.7129,12.6314
nov-08,504670.542,92.0427,7.43,68.818942,1752.1841,13.114
dic-08,577542.277,91.8951,8.02,69.295552,1781.9097,13.4226
ene-09,548576.456,84.8959,7.59,69.456149,1572.9751,13.8921
feb-09,539231.506,81.841,7.12,69.609494,1810.7913,14.5966
mar-09,533819.278,86.8736,7.03,70.00995,2115.1062,14.6695
abr-09,537331.41,84.3107,6.05,70.25499,1794.7984,13.4367
may-09,536606.477,86.0816,5.29,70.050358,1905.4983,13.1621
jun-09,531629.602,88.1843,4.98,70.179354,1934.0212,13.3418
jul-09,541061.603,88.7317,4.59,70.370516,1850.2274,13.3654
ago-09,529495.386,86.5536,4.49,70.538884,1799.4038,13.008
sep-09,524785.931,86.5037,4.48,70.892716,1747.2127,13.4212
oct-09,534520.513,91.1205,4.51,71.107191,1695.9575,13.2257
nov-09,547652.896,91.249,4.51,71.476046,1510.8202,13.1094
dic-09,631937.88,91.8562,4.5,71.771855,1569.5206,12.8631
ene-10,600421.918,86.867,4.49,72.552046,1323.8241,12.8019
feb-10,584170.708,85.2272,4.49,72.971671,1553.4585,12.9424
mar-10,597193.947,92.2922,4.45,73.489725,1954.8462,12.5737
abr-10,574362.947,90.5818,4.44,73.255565,1794.7704,12.2302
may-10,582623.188,92.3,4.52,72.793978,2146.2064,12.7428
jun-10,577815.451,93.231,4.59,72.771183,1894.8869,12.7193
